sampleID	plate	sampleID2	mouse	group_ID	group_sort	day	diet	day_of_diet
22OCT_04_pl1	1	22OCT04_pl1	4	FF	1	13	FF	FR
22OCT_05_pl1	1	22OCT05_pl1	5	FR	2	13	FR	FR
22OCT_06_pl1	1	22OCT06_pl1	6	FR	2	13	FR	FR
22OCT_07_pl1	1	22OCT07_pl1	7	FR	2	13	FR	FR
22OCT_08_pl1	1	22OCT08_pl1	8	FR	2	13	FR	FR
22OCT_09_pl1	1	22OCT09_pl1	9	pre	3	13	pre	FR
22OCT_10_pl1	1	22OCT10_pl1	10	pre	3	13	pre	FR
22OCT_11_pl1	1	22OCT11_pl1	11	pre	3	13	pre	FR
22OCT_12_pl1	1	22OCT12_pl1	12	1_FR_FF	4	13	1_FR_FF	FR
22OCT_13_pl1	1	22OCT13_pl1	13	1_FR_FF	4	13	1_FR_FF	FR
22OCT_14_pl1	1	22OCT14_pl1	14	1_FR_FF	4	13	1_FR_FF	FR
22OCT_15_pl1	1	22OCT15_pl1	15	4_FR_FF	5	13	4_FR_FF	FR
22OCT_16_pl1	1	22OCT16_pl1	16	4_FR_FF	5	13	4_FR_FF	FR
22OCT_17_pl1	1	22OCT17_pl1	17	4_FR_FF	5	13	4_FR_FF	FR
22OCT_18_pl1	1	22OCT18_pl1	18	1_pre_FF	6	13	1_pre_FF	FR
22OCT_19_pl1	1	22OCT19_pl1	19	1_pre_FF	6	13	1_pre_FF	FR
22OCT_20_pl1	1	22OCT20_pl1	20	1_pre_FF	6	13	1_pre_FF	FR
22OCT_21_pl1	1	22OCT21_pl1	21	4_pre_FF	7	13	4_pre_FF	FR
22OCT_22_pl1	1	22OCT22_pl1	22	4_pre_FF	7	13	4_pre_FF	FR
22OCT_23_pl1	1	22OCT23_pl1	23	4_pre_FF	7	13	4_pre_FF	FR
23NOV_01_pl2	2	23NOV_01	1	FF	1	45	FF	FF
23NOV_02_pl2	2	23NOV_02	2	FF	1	45	FF	FF
23NOV_03_pl2	2	23NOV_03	3	FF	1	45	FF	FF
23NOV_04_pl2	2	23NOV_04	4	FF	1	45	FF	FF
23NOV_05_pl2	2	23NOV_05	5	FR	2	45	FR	FR
23NOV_06_pl2	2	23NOV_06	6	FR	2	45	FR	FR
23NOV_07_pl2	2	23NOV_07	7	FR	2	45	FR	FR
23NOV_08_pl2	2	23NOV_08	8	FR	2	45	FR	FR
23NOV_09_pl2	2	23NOV_09	9	pre	3	45	pre	pre
23NOV_10_pl2	2	23NOV_10	10	pre	3	45	pre	pre
23NOV_11_pl2	2	23NOV_11	11	pre	3	45	pre	pre
23NOV_12_pl2	2	23NOV_12	12	1_FR_FF	4	45	1_FR_FF	FR
23NOV_13_pl2	2	23NOV_13	13	1_FR_FF	4	45	1_FR_FF	FR
23NOV_14_pl2	2	23NOV_14	14	1_FR_FF	4	45	1_FR_FF	FR
23NOV_15_pl2	2	23NOV_15	15	4_FR_FF	5	45	4_FR_FF	FF
23NOV_16_pl2	2	23NOV_16	16	4_FR_FF	5	45	4_FR_FF	FF
23NOV_17_pl2	2	23NOV_17	17	4_FR_FF	5	45	4_FR_FF	FF
23NOV_18_pl2	2	23NOV_18	18	1_pre_FF	6	45	1_pre_FF	pre
23NOV_19_pl2	2	23NOV_19	19	1_pre_FF	6	45	1_pre_FF	pre
23NOV_20_pl2	2	23NOV_20	20	1_pre_FF	6	45	1_pre_FF	pre
23NOV_21_pl2	2	23NOV_21	21	4_pre_FF	7	45	4_pre_FF	FF
23NOV_22_pl2	2	23NOV_22	22	4_pre_FF	7	45	4_pre_FF	FF
23NOV_23_pl2	2	23NOV_23	23	4_pre_FF	7	45	4_pre_FF	FF
24NOV_01_pl2	2	24NOV_01	1	FF	1	46	FF	FF
24NOV_02_pl2	2	24NOV_02	2	FF	1	46	FF	FF
24NOV_03_pl2	2	24NOV_03	3	FF	1	46	FF	FF
24NOV_04_pl2	2	24NOV_04	4	FF	1	46	FF	FF
24NOV_05_pl2	2	24NOV_05	5	FR	2	46	FR	FR
24NOV_06_pl2	2	24NOV_06	6	FR	2	46	FR	FR
24NOV_07_pl2	2	24NOV_07	7	FR	2	46	FR	FR
24NOV_08_pl2	2	24NOV_08	8	FR	2	46	FR	FR
24NOV_09_pl2	2	24NOV_09	9	pre	3	46	pre	pre
24NOV_10_pl2	2	24NOV_10	10	pre	3	46	pre	pre
24NOV_11_pl2	2	24NOV_11	11	pre	3	46	pre	pre
24NOV_12_pl2	2	24NOV_12	12	1_FR_FF	4	46	1_FR_FF	FF
24NOV_13_pl2	2	24NOV_13	13	1_FR_FF	4	46	1_FR_FF	FF
24NOV_14_pl2	2	24NOV_14	14	1_FR_FF	4	46	1_FR_FF	FF
24NOV_15_pl2	2	24NOV_15	15	4_FR_FF	5	46	4_FR_FF	FF
24NOV_16_pl2	2	24NOV_16	16	4_FR_FF	5	46	4_FR_FF	FF
24NOV_17_pl2	2	24NOV_17	17	4_FR_FF	5	46	4_FR_FF	FF
24NOV_18_pl2	2	24NOV_18	18	1_pre_FF	6	46	1_pre_FF	FF
24NOV_19_pl2	2	24NOV_19	19	1_pre_FF	6	46	1_pre_FF	FF
24NOV_20_pl2	2	24NOV_20	20	1_pre_FF	6	46	1_pre_FF	FF
24NOV_21_pl2	2	24NOV_21	21	4_pre_FF	7	46	4_pre_FF	FF
24NOV_22_pl2	2	24NOV_22	22	4_pre_FF	7	46	4_pre_FF	FF
24NOV_23_pl2	2	24NOV_23	23	4_pre_FF	7	46	4_pre_FF	FF
24OCT_01_pl1	1	24OCT01_pl1	1	FF	1	15	FF	FF
24OCT_02_pl1	1	24OCT02_pl1	2	FF	1	15	FF	FF
24OCT_03_pl1	1	24OCT03_pl1	3	FF	1	15	FF	FF
24OCT_04_pl1	1	24OCT04_pl1	4	FF	1	15	FF	FF
24OCT_05_pl1	1	24OCT05_pl1	5	FR	2	15	FR	FR
24OCT_06_pl1	1	24OCT06_pl1	6	FR	2	15	FR	FR
24OCT_07_pl1	1	24OCT07_pl1	7	FR	2	15	FR	FR
24OCT_08_pl1	1	24OCT08_pl1	8	FR	2	15	FR	FR
