	sampleID	mouse	day_of_diet	day	experiment	cage	sex	B_theta	B_ovatus	B_uniformis	B_caccae	B_intestihominis	E_rectale	C_symbiosum	B_formatexigens	R_intestinalis	F_prausnitzii	E_coli	D_piger	C_aerofaciens	A_muciniphila	cagegroup
162	18_May_05	5	FF	8	exp2	c6	male	13.9131216836046	18.4054321431783	3.637917078874	3.46254159546722	0.607068981023473	14.2863566867524	0.589081751956111	8.70581886860329	1.32655814371796	1.93362712474143	7.09596186707438	1.74026441226729	3.87624786401655	20.4200017987229	FF_c6
163	18_May_06	6	FF	8	exp2	c6	male	14.8051855545267	18.7014744639932	3.02371963815087	3.65410641783603	1.03996011111903	12.2978844647055	0.409573331433863	5.34582235201937	2.29004914879977	3.67903696844505	7.58957190683097	1.15036683524468	2.58209274164827	23.4311560652468	FF_c6
164	18_May_07	7	FF	8	exp2	c6	male	12.7656999959666	16.7869963296092	3.34368571774291	3.90836123099262	2.23046827733635	11.7896180373493	0.790545718549591	5.97346025087726	4.89654337917961	0.0121001895696366	9.58738353567539	1.04464969951196	3.11781551244303	23.7526721251966	FF_c6
165	18_May_08	8	FR	8	exp2	c7	male	13.8820259419395	14.4070413835701	3.23759522338892	2.66110767963764	2.33683343627754	12.7084620135886	0.329421453572164	6.22297714638666	2.30080296479308	2.74346304303068	12.33786287832	1.13238624665431	3.77290508544369	21.9271155033972	FR_c7
166	18_May_09	9	FR	8	exp2	c8	male	10.8101135190918	16.0216718266254	3.34107327141383	3.96026831785346	1.63828689370485	13.1127450980392	0.232198142414861	11.6937564499484	1.76728586171311	0	10.9455624355005	1.37383900928793	4.27631578947368	20.8268833849329	FR_c8
167	18_May_10	10	FR	8	exp2	c9	male	23.0554031815688	15.7871640153593	6.30828304991772	5.07405375754251	0.400438837081733	0.0877674163466813	0.235874931431706	5.24410312671421	6.31925397696105	6.04498080087767	7.16950082281953	2.15578716401536	4.026330224904	18.0910586944597	FR_c9
168	18_May_11	11	FR	8	exp2	c10	male	12.1625344352617	19.6326905417815	4.20110192837466	4.51790633608815	1.73553719008264	13.0027548209366	0.330578512396694	6.82736455463728	0	0	10.6290174471993	0.909090909090909	3.63636363636364	22.415059687787	FR_c10
169	18_May_12	12	FR	8	exp2	c10	male	13.574767737736	20.1136161903071	3.1717853127404	4.43221492396	1.34919225989704	8.92360494703829	0.284040475767797	9.34374815077815	1.39061482927984	0	11.5036392685958	1.4024498491035	4.04165926977928	20.4686667850169	FR_c10
170	18_May_13	13	FR	8	exp2	c10	male	16.5571792465478	23.2381463109443	4.44206104482281	5.01407695401528	1.10828082406042	0.210037091656612	0.536264914867945	7.1278544934531	1.96630468784913	1.06806095544532	10.1935022567815	2.35956562541896	3.91026500424543	22.2684005898914	FR_c10
171	18_May_14	14	FR	8	exp2	c11	male	15.3216065227238	16.7597765363128	3.72565302732901	3.26513664502491	0.841763551260758	12.4565906688812	0.532236146761286	10.0747395440133	6.58311943228144	0.015098897780462	6.48120187226332	1.21923599577231	3.65393326287181	19.0699078967235	FR_c11
172	20NOV_01_pl2	1	FF	42	exp1	c1	male	8.84478131359306	3.27071106261244	8.77989795617424	25.1540979738697	1.15610345946265	0.0855280620520836	2.83422302179491	1.04698144925827	0.696021470492819	0.849382133482762	6.11968030200254	4.44745922670835	2.51275547821984	34.2023770902763	FF_c1
173	20NOV_02_pl2	2	FF	42	exp1	c1	male	7.26119038732091	3.27887679807057	9.52080163082489	16.7188262654684	1.61646903442533	0.146429699388441	5.4437394125585	1.39538890005455	1.29776910046226	2.23089953774154	7.00278503545896	5.39492951276235	4.2148784059261	34.4770162795372	FF_c1
174	20NOV_03_pl2	3	FF	42	exp1	c2	female	7.84521040389089	1.53309367731021	4.04595756678649	29.2450835271728	0.768309015295693	0.0881088320293226	3.12257700711919	1.2617184746599	0	0	8.50426446747022	5.93501092549517	2.00535701698738	35.6453090857828	FF_c2
175	20NOV_04_pl2	4	FF	42	exp1	c2	female	2.78066670315836	2.09371065739778	16.9138978597624	20.4088893754447	1.14675132738519	0.0574744102030762	2.9394055503859	1.38759647490284	0.00273687667633696	0.00821063002901089	7.60578028354042	6.93524549783787	2.02528874048935	35.6943456127867	FF_c2
176	20NOV_05_pl2	5	FR	42	exp1	c3	male	15.2536324241652	16.0897272495539	9.33979097629365	3.06143257710936	1.67218965077747	17.3897527402498	0.489421361203161	8.60056079530971	3.67066020902371	2.61279632933979	5.18225847565639	0.652561814937548	0.87433086923273	15.1108845271476	FR_c3
177	20NOV_06_pl2	6	FR	42	exp1	c3	male	11.2866968629425	18.2284851534977	8.51534977352793	2.61365542694179	2.11373930548566	13.4474081529945	0.402617010568697	11.3034725717162	2.43247777218587	2.46267404797853	5.86143264552927	0.754906894816306	0.775037745344741	19.8020466364704	FR_c3
178	20NOV_07_pl2	7	FR	42	exp1	c4	female	11.8986061151079	16.8783723021583	6.68558902877698	2.36904226618705	2.08520683453237	8.20593525179856	0.865557553956835	7.25888039568345	1.84914568345324	0	16.0999325539568	1.19435701438849	0.789680755395683	23.8196942446043	FR_c4
179	20NOV_08_pl2	8	FR	42	exp1	c4	female	12.8641571194763	15.7228587015821	8.55428259683579	3.1860338243317	2.27314057101291	13.3442444080742	0.672849609019822	8.93617021276596	2.39679941807601	0	6.62302236770322	1.17112202218585	0.658301509365339	23.5970176395708	FR_c4
180	21_Jun_01	1	FF	42	exp2	c5	male	5.41689656291584	2.6516503846029	8.54564928110091	16.2701632533835	1.57086754730453	0.00973678231800331	5.78040310278797	1.04508130213236	0.61666288014021	1.58384992372854	5.34549349258382	4.84891759436565	1.7688487877706	44.5392879166531	FF_c5
181	21_Jun_02	2	FF	42	exp2	c5	male	3.28877572671335	2.86972204540632	13.2824103543391	14.9745385105029	1.59134309357097	0	2.38171016337789	0.0848716316571186	0	0.185656694249947	5.86675153829832	7.23000212179079	0.976023764056864	47.2628898790579	FF_c5
182	21_Jun_03	3	FF	42	exp2	c5	male	2.46095905977079	1.61683062238239	4.24986201746697	36.4046621862927	1.16879322099932	0	2.24992695042369	0.321418135774812	0.168825687477679	0.948021168143891	4.17194246940034	10.1782409662024	2.42524593357359	33.6352715820915	FF_c5
